TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,FRAME,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y
0,0,S001-01-t10_01.jpg,0,,169.934,300.49,279.459,300.536,224.088,365.565
0,0,S001-02-t10_01.jpg,1,,197.077,198.837,305.699,209.573,243.484,260.389
0,0,S001-03-t10_01.jpg,2,,125.647,273.005,251.545,271.958,189.522,348.38
0,0,S001-04-t10_01.jpg,3,,192.684,252.087,286.604,257.091,235.134,309.492
0,0,S001-05-t10_01.jpg,4,,176.9,248.278,259.546,245.395,205.068,300.356
0,0,S001-06-t10_01.jpg,5,,202.752,287.422,322.686,285.622,266.962,359.154
0,0,S001-07-t10_01.jpg,6,,221.252,278.676,347.556,275.36,283.311,355.517
0,0,S001-08-t10_01.jpg,7,,163.734,242.98,268.32,242.677,212.196,311.729
0,0,S001-08-t10_02.jpg,8,,,,,,,
0,0,S001-08-t10_03.jpg,9,,,,,,,
0,0,S001-09-t10_01.jpg,10,,198.798,259.3,291.719,267.327,237.108,318.691
1,1,S002-01-t10_01.jpg,11,,191.143,267.879,284.649,273.043,235.962,323.385
2,2,S003-01-t10_01.jpg,12,,152.025,314.518,288.022,325.367,214.572,397.265
3,3,S004-01-t10_01.jpg,13,,200.769,274.851,301.247,269.961,254.626,337.9
4,4,S005-01-t10_01.jpg,14,,189.247,259.926,284.996,265.933,233.339,314.686
5,5,S006-01-t10_01.jpg,15,,201.892,263.327,302.77,270.943,248.163,316.86
5,5,S006-02-t10_01.jpg,16,,205.676,253.593,278.325,268.436,235.534,299.264
5,5,S006-03-t10_01.jpg,17,,182.794,252.102,304.236,265.506,238.058,319.838
6,6,S007-01-t10_01.jpg,18,,163.357,289.568,258.353,275.833,220.103,342.235
7,7,S008-01-t10_01.jpg,19,,203.498,278.562,331.527,279.558,268.45,353.123
7,7,S008-02-t10_01.jpg,20,,146.33,265.841,270.638,235.606,222.864,324.988
7,7,S008-03-t10_01.jpg,21,,181.41,307.91,279.476,314.108,223.84,372.161
7,7,S008-04-t10_01.jpg,22,,166.688,299.745,281.515,286.967,229.173,370.64
7,7,S008-05-t10_01.jpg,23,,221.538,488.738,411.68,486.428,313.321,622.567
7,7,S008-06-t10_01.jpg,24,,164.244,289.839,287.117,287.518,224.441,360.054
7,7,S008-07-t10_01.jpg,25,,117.775,305.05,237.784,276.178,178.481,377.686
8,8,S009-01-t10_01.jpg,26,,169.63,256.106,272.597,260.922,219.43,324.196
9,9,S010-01-t10_01.jpg,27,,210.168,195.759,315.998,205.395,254.059,263.401
10,10,S011-01-t10_01.jpg,28,,95.081,110.367,141.193,104.38,122.787,136.379
11,11,S012-01-t10_01.jpg,29,,151.764,301.453,248.007,301.813,195.957,360.651
12,12,S013-01-t10_01.jpg,30,,72.632,109.297,136.829,117.206,104.312,161.181
12,12,S013-02-t10_01.jpg,31,,380.836,415.178,530.97,430.898,459.356,544.399
13,13,S014-01-t10_01.jpg,32,,114.184,278.176,211.37,276.426,156.948,352.527
14,14,S015-01-t10_01.jpg,33,,206.571,193.875,311.967,195.687,250.053,251.433
14,14,S015-02-t10_01.jpg,34,,116.674,181.545,194.062,182.608,144.11,248.086
14,14,S015-03-t10_01.jpg,35,,142.669,182.589,208.954,200.441,161.587,233.251
15,15,S016-01-t10_01.jpg,36,,144.842,317.475,309.057,328.165,224.096,425.216
16,16,S017-01-t10_01.jpg,37,,92.194,91.7176,145.119,91.7087,116.197,126.038
17,17,S018-01-t10_01.jpg,38,,126.636,166.01,177.298,161.946,153.544,192.392
18,18,S019-01-t10_01.jpg,39,,136.254,187.498,240.599,191.578,184.486,253.203
19,19,S020-01-t10_01.jpg,40,,148.558,209.48,242.291,214.688,191.313,261.675
20,20,S021-01-t10_01.jpg,41,,374.07,486.186,543.726,518.437,445.535,601.369
21,21,S022-01-t10_01.jpg,42,,102.117,129.868,134.768,130.855,121.99,156.976
21,21,S022-02-t10_01.jpg,43,,101.373,96.2305,148.684,107.309,121.034,130.903
22,22,S023-01-t10_01.jpg,44,,167.803,277.199,298.795,271.941,233.295,342.277
22,22,S023-02-t10_01.jpg,45,,153.651,217.298,269.147,214.908,214.469,279.502
22,22,S023-03-t10_01.jpg,46,,163.708,223.092,271.195,257.037,197.196,289.544
22,22,S023-04-t10_01.jpg,47,,119.094,293.324,298.101,294.846,209.032,385.59
23,23,S024-01-t10_01.jpg,48,,200.735,260.97,302.029,256.153,254.26,322.475
24,24,S025-01-t10_01.jpg,49,,175.904,259.4,290.911,257.481,230.585,318.463
25,25,S026-01-t10_01.jpg,50,,208.321,236.877,287.022,231.173,251.674,275.366
26,26,S027-01-t10_01.jpg,51,,398.7,398.318,488.42,393.046,457.71,453.144
26,26,S027-01-t10_02.jpg,52,,,,,,,
26,26,S027-01-t10_03.jpg,53,,,,,,,
27,27,S028-01-t10_01.jpg,54,,253.787,345.433,411.55,343.597,356.767,476.477
28,28,S029-01-t10_01.jpg,55,,145.086,209.387,243.805,203.597,195.414,261.233
28,28,S029-02-t10_01.jpg,56,,165.307,169.281,233.093,170.254,202.973,204.057
28,28,S029-03-t10_01.jpg,57,,244.01,249.413,350.113,239.959,300.945,305.972
29,29,S030-01-t10_01.jpg,58,,184.389,274.003,319.32,282.353,245.765,351.582
29,29,S030-02-t10_01.jpg,59,,190.607,239.574,297.364,244.76,240.451,297.749
29,29,S030-03-t10_01.jpg,60,,184.779,219.325,314.427,224.993,237.705,284.464
29,29,S030-04-t10_01.jpg,61,,224.869,233.647,329.804,243.935,273.984,295.132
29,29,S030-05-t10_01.jpg,62,,153.321,244.691,267.458,251.274,193.01,311.649
30,30,S031-01-t10_01.jpg,63,,183.237,286.322,317.952,286.853,242.858,369.916
30,30,S031-02-t10_01.jpg,64,,90.8332,275.609,200.445,266.585,133.932,351.91
30,30,S031-03-t10_01.jpg,65,,190.846,289.492,299.622,296.395,234.479,364.854
30,30,S031-04-t10_01.jpg,66,,156.197,295.982,278.669,290.624,201.108,375.675
30,30,S031-05-t10_01.jpg,67,,191.919,311.275,303.879,305.849,230.628,381.371
30,30,S031-06-t10_01.jpg,68,,187.234,323.285,316.395,322.655,243.985,406.736
31,31,S032-01-t10_01.jpg,69,,117.54,260.46,190.46,252.993,151.739,294.842
31,31,S032-02-t10_01.jpg,70,,106.943,228.101,214.575,223.461,163.06,281.588
31,31,S032-03-t10_01.jpg,71,,,,,,,
32,32,S033-01-t10_01.jpg,72,,172.667,244.057,278.754,248.871,232.622,332.784
32,32,S033-02-t10_01.jpg,73,,132.981,216.145,240.475,209.666,191.593,279.707
32,32,S033-03-t10_01.jpg,74,,138.869,213.984,253.035,222.241,189.844,289.009
32,32,S033-04-t10_01.jpg,75,,155.443,147.085,245.847,156.452,195.927,205.968
32,32,S033-05-t10_01.jpg,76,,102.013,174.914,182.362,164.837,136.004,234.326
32,32,S033-06-t10_01.jpg,77,,171.329,245.421,258.609,234.168,225.973,290.098
32,32,S033-07-t10_01.jpg,78,,100.262,258.984,196.998,246.62,154.28,316.508
33,33,S034-01-t10_01.jpg,79,,222.883,231.779,325.397,226.944,272.788,288.446
34,34,S035-01-t10_01.jpg,80,,150.151,176.452,257.409,195.123,193.165,244.2
35,35,S036-01-t10_01.jpg,81,,183.632,216.845,291.106,225.361,232.752,293.766
35,35,S036-02-t10_01.jpg,82,,126.351,195.975,225.512,192.126,172.96,255.755
35,35,S036-03-t10_01.jpg,83,,131.52,221.49,232.999,226.083,175.187,276.978
36,36,S037-01-t10_01.jpg,84,,155.543,199.579,295.416,212.303,211.52,291.817
37,37,S038-01-t10_01.jpg,85,,122.055,283.849,294.3,298.945,197.926,377.357
38,38,S039-01-t10_01.jpg,86,,96.9967,65.3944,134.13,63.5764,116.576,83.6844
39,39,S040-01-t10_01.jpg,87,,136.543,193.691,238.553,198.129,186.667,250.587
40,40,S041-01-t10_01.jpg,88,,204.97,290.701,294.715,291.403,252.383,346.43
41,41,S042-01-t10_01.jpg,89,,839.545,549.255,1120.03,548.597,969.658,714.302
42,42,S043-01-t10_01.jpg,90,,,,,,,
43,43,S044-01-t10_01.jpg,91,,211.144,266.322,309.299,274.1,254.902,349.346
43,43,S044-02-t10_01.jpg,92,,173.111,276.942,262.263,270.744,212.674,329.763
43,43,S044-03-t10_01.jpg,93,,162.888,252.637,263.373,253.85,210.113,327.998
43,43,S044-04-t10_01.jpg,94,,197.038,259.389,329.153,257.36,259.042,343.05
43,43,S044-05-t10_01.jpg,95,,207.106,288.966,292.821,275.713,243.145,346.271
43,43,S044-06-t10_01.jpg,96,,183.82,251.247,289.603,251.897,235.941,308.412
43,43,S044-07-t10_01.jpg,97,,188.617,284.905,275.131,274.39,229.797,350.591
43,43,S044-08-t10_01.jpg,98,,179.857,267.103,282.912,256.81,233.282,329.87
43,43,S044-09-t10_01.jpg,99,,180.237,268.448,279.676,265.53,223.469,325.174
44,44,S045-01-t10_01.jpg,100,,233.08,289.304,324.117,290.975,291.609,355.389
44,44,S045-01-t10_02.jpg,101,,,,,,,
45,45,S046-01-t10_01.jpg,102,,124.775,218.79,237.692,217.911,176.484,288.497
45,45,S046-02-t10_01.jpg,103,,93.8247,212.84,199.153,218.338,135.857,257.251
46,46,S047-01-t10_01.jpg,104,,176.678,213.456,277.256,215.977,225.512,275.073
47,47,S048-01-t10_01.jpg,105,,109.987,223.469,219.143,210.072,167.01,291.679
47,47,S048-02-t10_01.jpg,106,,157.161,273.971,257.018,268.43,212.591,335.296
47,47,S048-03-t10_01.jpg,107,,138.424,244.205,228.855,245.129,180.403,302.569
47,47,S048-04-t10_01.jpg,108,,128.319,239.158,228.429,235.682,174.708,306.05
47,47,S048-05-t10_01.jpg,109,,175.096,211.39,274.873,204.713,223.908,273.897
47,47,S048-06-t10_01.jpg,110,,140.684,232.811,221.877,222.467,184.904,280.806
47,47,S048-07-t10_01.jpg,111,,113.175,213.367,210.823,208.594,161.097,273.214
48,48,S049-01-t10_01.jpg,112,,133.625,198.74,239.466,185.977,188.351,253.169
49,49,S050-01-t10_01.jpg,113,,83.7956,102.978,139.298,97.6526,115.326,131.517
50,50,S051-01-t10_01.jpg,114,,55.6191,80.4943,132.484,87.8536,92.3915,137.259
50,50,S051-02-t10_01.jpg,115,,91.3325,69.8281,129.556,74.6758,108.29,96.4431
51,51,S052-01-t10_01.jpg,116,,155.688,159.523,265.711,172.613,205.01,240.249
51,51,S052-02-t10_01.jpg,117,,145.247,254.796,256.08,261.315,191.949,327.122
51,51,S052-03-t10_01.jpg,118,,99.7649,264.144,207.641,263.474,147.086,334.723
52,52,S053-01-t10_01.jpg,119,,307.635,414.529,474.395,415.293,390.668,516.484
53,53,S054-01-t10_01.jpg,120,,215.357,273.627,327.377,264.872,273.969,328.157
53,53,S054-02-t10_01.jpg,121,,214.404,248.394,309.577,255.957,258.652,308.139
53,53,S054-03-t10_01.jpg,122,,194.434,260.59,279.685,250.202,241.046,310.906
54,54,S055-01-t10_01.jpg,123,,184.557,283.298,286.171,279.108,238.897,343.027
55,55,S056-01-t10_01.jpg,124,,172.278,262.564,285.578,262.396,216.469,342.867
56,56,S057-01-t10_01.jpg,125,,130.15,192.159,239.199,193.681,187.866,262.066
57,57,S058-01-t10_01.jpg,126,,154.896,288.161,291.743,297.543,210.499,380.856
57,57,S058-02-t10_01.jpg,127,,208.763,262.577,314.454,259.9,266.515,331.595
57,57,S058-03-t10_01.jpg,128,,169.114,241.704,272.479,239.843,221.709,306.281
58,58,S059-01-t10_01.jpg,129,,336.888,484.827,516.795,489.121,434.482,620.289
58,58,S059-01-t10_02.jpg,130,,,,,,,
59,59,S060-01-t10_01.jpg,131,,194.668,279.317,310.573,297.457,250.495,337.053
60,60,S061-01-t10_01.jpg,132,,355.107,567.89,511.24,547.133,454.15,661.742
61,61,S062-01-t10_01.jpg,133,,179.788,290.833,279.704,296.16,226.797,356.811
62,62,S063-01-t10_01.jpg,134,,139.183,237.626,232.515,241.338,180.475,294.191
63,63,S064-01-t10_01.jpg,135,,99.3245,99.102,147.764,92.9885,124.278,118.511
63,63,S064-02-t10_01.jpg,136,,349.737,318.796,484.601,337.125,406.297,402.336
64,64,S065-01-t10_01.jpg,137,,255.573,355.595,327.128,364.687,292.519,411.973
64,64,S065-02-t10_01.jpg,138,,236.274,231.258,329.101,242.589,280.465,283.716
65,65,S066-01-t10_01.jpg,139,,117.937,238.165,236.097,233.319,182.161,301.002
66,66,S067-01-t10_01.jpg,140,,249.327,496.4,490.425,484.127,362.323,644.024
67,67,S068-01-t10_01.jpg,141,,176.777,229.678,282.93,243.657,223.455,306.74
67,67,S068-02-t10_01.jpg,142,,177.069,228.775,282.998,231.711,232.5,302.977
67,67,S068-03-t10_01.jpg,143,,200.618,261.135,344.591,266.993,286.298,369.553
67,67,S068-04-t10_01.jpg,144,,98.4473,300.292,188.904,293.268,143.219,376.454
67,67,S068-05-t10_01.jpg,145,,182.321,219.461,284.06,229.775,227.699,293.846
67,67,S068-06-t10_01.jpg,146,,162.427,293.639,286.956,300.571,228.402,376.996
67,67,S068-07-t10_01.jpg,147,,200.631,261.298,301.386,265.176,250.811,332.295
68,68,S069-01-t10_01.jpg,148,,50.4579,69.7923,87.8922,72.664,70.4703,94.9345
68,68,S069-02-t10_01.jpg,149,,81.7689,84.0846,110.718,84.2248,96.1605,101.696
69,69,S070-01-t10_01.jpg,150,,135.295,196.363,237.79,198.625,180.512,263.662
70,70,S071-01-t10_01.jpg,151,,121.562,288.242,250.695,285.545,186.915,366.351
